,remarks_calls,change_volume_calls,change_oi_lakhs_calls,change_ltp_calls,change_iv,strike_price,change_volume_puts,change_oi_lakhs_puts,change_ltp_puts,remarks_puts,time_roc
0,NA,0.0,0.0,0.0,0.0,24100.0,0.0,0.0,0.0,NA,2024-07-20 04:52:07
1,NA,0.0,0.0,0.0,0.0,24100.0,0.0,0.0,0.0,NA,2024-07-20 04:52:31
2,NA,0.0,0.0,0.0,0.0,24100.0,0.0,0.0,0.0,NA,2024-07-20 04:52:55
3,NA,0.0,0.0,0.0,0.0,24100.0,0.0,0.0,0.0,NA,2024-07-20 04:53:19
4,NA,0.0,0.0,0.0,0.0,24100.0,0.0,0.0,0.0,NA,2024-07-20 04:53:43
5,NA,0.0,0.0,0.0,0.0,24100.0,0.0,0.0,0.0,NA,2024-07-20 04:54:07
6,NA,0.0,0.0,0.0,0.0,24100.0,0.0,0.0,0.0,NA,2024-07-20 04:54:30
56,NA,0.0,0.0,0.0,0.0,24100.0,0.0,0.0,0.0,NA,2024-07-20 04:54:54
7,NA,0.0,0.0,0.0,0.0,24200.0,0.0,0.0,0.0,NA,2024-07-20 04:52:07
8,NA,0.0,0.0,0.0,0.0,24200.0,0.0,0.0,0.0,NA,2024-07-20 04:52:31
9,NA,0.0,0.0,0.0,0.0,24200.0,0.0,0.0,0.0,NA,2024-07-20 04:52:55
10,NA,0.0,0.0,0.0,0.0,24200.0,0.0,0.0,0.0,NA,2024-07-20 04:53:19
11,NA,0.0,0.0,0.0,0.0,24200.0,0.0,0.0,0.0,NA,2024-07-20 04:53:43
12,NA,0.0,0.0,0.0,0.0,24200.0,0.0,0.0,0.0,NA,2024-07-20 04:54:07
13,NA,0.0,0.0,0.0,0.0,24200.0,0.0,0.0,0.0,NA,2024-07-20 04:54:30
57,NA,0.0,0.0,0.0,0.0,24200.0,0.0,0.0,0.0,NA,2024-07-20 04:54:54
14,NA,0.0,0.0,0.0,0.0,24300.0,0.0,0.0,0.0,NA,2024-07-20 04:52:07
15,NA,0.0,0.0,0.0,0.0,24300.0,0.0,0.0,0.0,NA,2024-07-20 04:52:31
16,NA,0.0,0.0,0.0,0.0,24300.0,0.0,0.0,0.0,NA,2024-07-20 04:52:55
17,NA,0.0,0.0,0.0,0.0,24300.0,0.0,0.0,0.0,NA,2024-07-20 04:53:19
18,NA,0.0,0.0,0.0,0.0,24300.0,0.0,0.0,0.0,NA,2024-07-20 04:53:43
19,NA,0.0,0.0,0.0,0.0,24300.0,0.0,0.0,0.0,NA,2024-07-20 04:54:07
20,NA,0.0,0.0,0.0,0.0,24300.0,0.0,0.0,0.0,NA,2024-07-20 04:54:30
58,NA,0.0,0.0,0.0,0.0,24300.0,0.0,0.0,0.0,NA,2024-07-20 04:54:54
21,NA,0.0,0.0,0.0,0.0,24400.0,0.0,0.0,0.0,NA,2024-07-20 04:52:07
22,NA,0.0,0.0,0.0,0.0,24400.0,0.0,0.0,0.0,NA,2024-07-20 04:52:31
23,NA,0.0,0.0,0.0,0.0,24400.0,0.0,0.0,0.0,NA,2024-07-20 04:52:55
24,NA,0.0,0.0,0.0,0.0,24400.0,0.0,0.0,0.0,NA,2024-07-20 04:53:19
25,NA,0.0,0.0,0.0,0.0,24400.0,0.0,0.0,0.0,NA,2024-07-20 04:53:43
26,NA,0.0,0.0,0.0,0.0,24400.0,0.0,0.0,0.0,NA,2024-07-20 04:54:07
27,NA,0.0,0.0,0.0,0.0,24400.0,0.0,0.0,0.0,NA,2024-07-20 04:54:30
59,NA,0.0,0.0,0.0,0.0,24400.0,0.0,0.0,0.0,NA,2024-07-20 04:54:54
28,NA,0.0,0.0,0.0,0.0,24500.0,0.0,0.0,0.0,NA,2024-07-20 04:52:07
